Heel,Midfoot.Lat,Toe.Lat,Toe.Tip,Toe.Med,Midfoot.Sup
0.11183456,0.07378611,0.03314423,0.03981303,0.05198711,0.09890044
0.07202085,0.11328477,0.11025379,0.14726594,0.13441384,0.13664379
0.12034601,0.07819057,0.03479553,0.03894291,0.05296438,0.10246938
0.0722297,0.10433602,0.09733166,0.13124019,0.12132867,0.12746104
0.13017134,0.08315774,0.03658909,0.03789443,0.05410742,0.10658578
0.07261576,0.09560703,0.08475979,0.11567322,0.10869067,0.11859377
0.14161346,0.0888058,0.03853841,0.03656166,0.05539745,0.11132197
0.07325538,0.08784587,0.07349558,0.10149524,0.09720927,0.11055484
0.1555726,0.09544239,0.04064651,0.03472832,0.0568925,0.11700576
0.0740657,0.08143288,0.06407205,0.08932709,0.08735514,0.10366746
0.17201097,0.10323143,0.04317496,0.03249725,0.05861689,0.12355186
0.07468675,0.07618363,0.05639969,0.07935456,0.0792619,0.0979645
0.19100544,0.11220268,0.04615837,0.02971775,0.06045873,0.13081379
0.07550691,0.07223316,0.05049836,0.07154962,0.07298358,0.09361184
0.21242408,0.12236223,0.04979643,0.0266393,0.06262707,0.1387787
0.07615691,0.06922918,0.04602157,0.06564026,0.06824405,0.09032527
0.23499064,0.13344707,0.05447271,0.02396126,0.06538027,0.1470743
0.0764287,0.06689368,0.04265524,0.06130557,0.06474516,0.0878415
0.25706738,0.14523765,0.06080706,0.02301752,0.06940375,0.15561819
0.07626583,0.06494952,0.04005479,0.0582449,0.0622595,0.08599517
0.27653597,0.1571785,0.06900344,0.02506909,0.07519389,0.16430473
0.07602059,0.06351193,0.03819952,0.05617297,0.06057426,0.08471343
0.29241709,0.16911899,0.07901059,0.03056768,0.08274308,0.17319384
0.07594116,0.06246453,0.03685441,0.05483623,0.05955508,0.08397472
0.30495269,0.18070298,0.0899789,0.03894084,0.09168613,0.18248828
0.07601404,0.06176391,0.0359136,0.05388869,0.05886105,0.08350753
0.31419145,0.1911501,0.10065581,0.04871623,0.1009198,0.19153131
0.07618624,0.0612059,0.03512435,0.05307037,0.05828159,0.08314742
0.32004124,0.1994149,0.10967156,0.05813578,0.10916136,0.19925551
0.07634605,0.06075626,0.03447569,0.05236839,0.0577784,0.08283424
0.3223838,0.20461846,0.11593943,0.06576802,0.11537075,0.2047227
0.07666015,0.06051814,0.03405516,0.05188884,0.05747875,0.08270919
0.32107674,0.20621121,0.11877764,0.07061606,0.11876551,0.20721784
0.0765978,0.06013333,0.03356213,0.05135309,0.05704791,0.08238224
0.31642295,0.20427019,0.11818869,0.07259045,0.11936926,0.20681259
0.07677745,0.05992888,0.03321199,0.0508754,0.05669365,0.08217093
0.30826695,0.19895398,0.11442801,0.0718313,0.11718025,0.20342054
0.07687309,0.05965905,0.03280539,0.05035529,0.05629114,0.08190234
0.29665645,0.19059387,0.10798297,0.06900811,0.11273337,0.19744266
0.07683208,0.05932367,0.03234378,0.04972881,0.05575793,0.08149537
0.2817008,0.17982976,0.0997089,0.06490638,0.10657582,0.18922968
0.07680136,0.05904893,0.03194732,0.04911761,0.05522251,0.0810841
0.26361679,0.16740393,0.09059274,0.06049902,0.09944663,0.17929165
0.07684346,0.0588237,0.03160104,0.04859151,0.05478053,0.08076409
0.24291312,0.15390085,0.0813006,0.0564239,0.0919606,0.16814735
0.07711228,0.0587152,0.03132683,0.04808607,0.05439426,0.08054415
0.22018013,0.13997249,0.07251394,0.05317032,0.08459278,0.1562231
0.07786003,0.05871108,0.031046,0.04758685,0.05413727,0.08055756
0.19635131,0.12628332,0.06486351,0.0514838,0.07821851,0.14440463
0.07854119,0.05866393,0.03072504,0.04702564,0.05381015,0.08049903
0.17238182,0.11339498,0.05875701,0.05170374,0.0733633,0.13334241
0.0793707,0.05872539,0.03049987,0.0465543,0.05358581,0.08055561
0.1492155,0.10196162,0.05473553,0.05435132,0.07068327,0.12378755
0.0803415,0.05894338,0.03042268,0.04616795,0.05344022,0.08070172
0.12796981,0.09276653,0.05336815,0.05976945,0.07067499,0.11643245
0.08150985,0.05935653,0.03053496,0.04594544,0.05345875,0.08101841
0.10939921,0.08645572,0.05522595,0.06845341,0.0738827,0.11189169
0.08278951,0.0598296,0.03068779,0.04574266,0.05351346,0.08139041
0.09431257,0.08368068,0.06084155,0.08081233,0.08078562,0.11075817
0.08384861,0.06024479,0.03081675,0.04544357,0.05341708,0.08158243
0.08294126,0.08470836,0.07039006,0.09673071,0.09125158,0.11299295
0.08529693,0.06085456,0.03104836,0.04508808,0.05332499,0.08187225
0.07534826,0.08953068,0.08367071,0.11561831,0.1047183,0.1182287
0.086777,0.06140844,0.03120352,0.04467743,0.0532069,0.08215447
0.07089588,0.09695249,0.09910218,0.13570164,0.11965041,0.1253144
0.08820918,0.06192657,0.03132205,0.04420322,0.05302075,0.08237057
0.06862804,0.10518802,0.11437063,0.15455599,0.13397448,0.13270744
0.09037708,0.06279948,0.03165146,0.04379019,0.05301774,0.08291182
0.06755889,0.11218894,0.12674082,0.16934394,0.14529822,0.13871338
0.09264758,0.06368702,0.03195648,0.04328066,0.05294568,0.08342379
0.06656765,0.1156811,0.13323963,0.17714653,0.15118345,0.14160922
0.09499779,0.06456274,0.03219089,0.04253497,0.05266421,0.0837888
0.06450437,0.11433692,0.13239616,0.17654984,0.15028018,0.14020666
0.09926144,0.06641964,0.03302733,0.04186542,0.05275425,0.0849049
0.06229598,0.10869076,0.12445842,0.16766114,0.14286097,0.13506703
0.1038889,0.06846009,0.03394968,0.04101672,0.05271906,0.08599875
0.06011047,0.1000453,0.1114541,0.15263049,0.13059798,0.12712974
0.11027402,0.07130283,0.03533585,0.04026805,0.05309007,0.08783243
0.05905194,0.09043098,0.09612708,0.13454675,0.11619633,0.11837103
0.11784276,0.07458288,0.03690147,0.03938055,0.05356077,0.09002119
0.05923693,0.08156565,0.08121247,0.11643307,0.10199572,0.11011679
0.12766234,0.07865161,0.03878327,0.03836215,0.05437138,0.09301182
0.06074535,0.07458058,0.06856455,0.1005706,0.0898228,0.10348267
